 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
   49,   relocation,            980.924,            980.924,            282.403,            20471.1,                  0,       0.002020/0.434395,       0.005042/0.306882,       0.000000/0.134577,       0.002020/0.479129,                 0.0/0.0,
   50,   relocation,            885.132,            885.132,            270.184,            18637.3,                  0,       0.001988/0.414536,       0.004899/0.291511,       0.000000/0.131633,       0.001996/0.457166,                 0.0/0.0,
   51,   relocation,            797.281,            797.281,            258.713,            16920.1,                  0,       0.001805/0.395056,       0.003534/0.276683,       0.000000/0.128808,       0.001919/0.435595,                 0.0/0.0,
   52,   relocation,            719.701,            719.701,            247.527,            15395.6,                  0,       0.001238/0.376914,       0.003715/0.262872,       0.000000/0.125993,       0.001165/0.415511,                 0.0/0.0,
   53,   relocation,            649.357,            649.357,            236.458,            13981.9,                  0,       0.001017/0.359282,       0.002579/0.249707,       0.000000/0.123144,       0.001013/0.395974,                 0.0/0.0,
   54,   relocation,            587.051,            587.051,            225.631,            12733.2,                  0,       0.001176/0.342938,       0.002010/0.237429,       0.000000/0.120291,       0.001284/0.377878,                 0.0/0.0,
   55,   relocation,            530.296,            530.296,            214.963,            11580.1,                  0,       0.000734/0.327126,       0.001061/0.225666,       0.000000/0.117413,       0.000824/0.360364,                 0.0/0.0,
   56,   relocation,            479.523,            479.523,            204.688,              10549,                  0,       0.000611/0.312296,       0.001643/0.214587,       0.000000/0.114573,       0.000598/0.343947,                 0.0/0.0,
   57,   relocation,            433.379,            433.379,            194.452,             9595.8,                  0,      -0.000362/0.297932,       0.000757/0.204006,       0.000000/0.111671,      -0.000556/0.328039,                 0.0/0.0,
   58,   relocation,            391.468,            391.468,            184.873,            8723.55,                  0,       0.000061/0.284154,       0.000663/0.193891,       0.000000/0.108886,       0.000001/0.312775,                 0.0/0.0,
   59,   relocation,            354.063,            354.063,            175.584,            7951.37,                  0,      -0.000222/0.271356,       0.000318/0.184396,       0.000000/0.106115,      -0.000324/0.298612,                 0.0/0.0,
   60,   relocation,            319.793,            319.793,            167.129,            7222.87,                  0,       0.000102/0.258724,       0.000515/0.175245,       0.000000/0.103529,       0.000071/0.284604,                 0.0/0.0,
   61,   relocation,            289.169,            289.169,            158.821,            6580.36,                  0,      -0.001173/0.247023,       0.000022/0.166643,       0.000000/0.100923,      -0.001518/0.271646,                 0.0/0.0,
   62,   relocation,            261.314,            261.314,            151.177,            5980.86,                  0,      -0.000749/0.235601,      -0.000454/0.158413,       0.000000/0.098464,      -0.000914/0.258979,                 0.0/0.0,
   63,   relocation,            235.957,            235.957,            143.642,            5448.93,                  0,      -0.000570/0.224954,      -0.000663/0.150531,       0.000000/0.095979,      -0.000659/0.247195,                 0.0/0.0,
   64,   relocation,            212.817,            212.817,            136.594,            4944.79,                  0,      -0.001582/0.214390,      -0.000240/0.142960,       0.000000/0.093594,      -0.002015/0.235475,                 0.0/0.0,
   65,   relocation,            191.811,            191.811,            129.958,            4501.76,                  0,      -0.000993/0.204641,      -0.000403/0.135721,       0.000000/0.091293,      -0.001236/0.224683,                 0.0/0.0,
   66,   relocation,            172.662,            172.662,            123.537,            4080.96,                  0,      -0.001078/0.194942,      -0.000565/0.128767,       0.000000/0.089009,      -0.001326/0.213923,                 0.0/0.0,
   67,   relocation,            154.952,            154.952,             117.36,            3706.48,                  0,      -0.000967/0.185860,      -0.000688/0.121984,      -0.000000/0.086755,      -0.001169/0.203873,                 0.0/0.0,
   68,   relocation,            139.259,            139.259,            111.133,            3349.82,                  0,      -0.001053/0.176796,      -0.001150/0.115638,      -0.000000/0.084422,      -0.001226/0.193815,                 0.0/0.0,
   69,   relocation,            124.603,            124.603,            105.359,            3042.53,                  0,      -0.000912/0.168557,      -0.001717/0.109376,      -0.000000/0.082200,      -0.000978/0.184713,                 0.0/0.0,
   70,   relocation,            111.946,            111.946,             99.572,            2755.63,                  0,      -0.001482/0.160497,      -0.000533/0.103684,       0.000000/0.079910,      -0.001852/0.175781,                 0.0/0.0,
   71,   relocation,            99.6173,            99.6173,            94.2381,             2487.7,                  0,      -0.001443/0.152577,      -0.002152/0.097785,       0.000000/0.077741,      -0.001612/0.167019,                 0.0/0.0,
   72,   relocation,            89.1112,            89.1112,            88.7657,            2251.88,                  0,      -0.001335/0.145237,      -0.001492/0.092496,       0.000000/0.075450,      -0.001551/0.158905,                 0.0/0.0,
   73,   relocation,            79.4013,            79.4013,            83.5725,            2043.82,                  0,      -0.001368/0.138412,      -0.001381/0.087312,       0.000000/0.073209,      -0.001605/0.151385,                 0.0/0.0,
   74,   relocation,            70.5774,            70.5774,            78.5358,            1840.99,                  0,      -0.000923/0.131445,      -0.001188/0.082319,      -0.000000/0.070969,      -0.001053/0.143681,                 0.0/0.0,
   75,   relocation,            62.9369,            62.9369,            73.6737,            1669.83,                  0,      -0.000951/0.125232,      -0.001208/0.077734,      -0.000000/0.068737,      -0.001087/0.136838,                 0.0/0.0,
   76,   relocation,            56.0236,            56.0236,            69.1932,             1505.4,                  0,      -0.001098/0.118980,      -0.001383/0.073337,      -0.000000/0.066614,      -0.001257/0.129925,                 0.0/0.0,
   77,   relocation,            49.4592,            49.4592,            65.0551,            1362.17,                  0,      -0.000530/0.113228,      -0.001159/0.068909,      -0.000000/0.064592,      -0.000549/0.123594,                 0.0/0.0,
   78,   relocation,             44.462,             44.462,            61.1884,            1243.88,                  0,      -0.001003/0.108240,      -0.001570/0.065325,      -0.000000/0.062643,      -0.001112/0.118102,                 0.0/0.0,
   79,   relocation,            39.1769,            39.1769,            57.5137,            1128.03,                  0,       0.000059/0.103118,      -0.000783/0.061333,      -0.000000/0.060732,       0.000168/0.112472,                 0.0/0.0,
   80,   relocation,            35.3938,            35.3938,            54.0825,            1032.35,                  0,      -0.000793/0.098688,      -0.001338/0.058286,       0.000000/0.058893,      -0.000868/0.107593,                 0.0/0.0,
   81,   relocation,            30.7698,            30.7698,            50.8895,            934.106,                  0,       0.000389/0.093909,      -0.000758/0.054354,      -0.000000/0.057128,       0.000591/0.102347,                 0.0/0.0,
   82,   relocation,            28.0749,            28.0749,            47.9916,            866.639,                  0,      -0.000288/0.090469,      -0.001401/0.051905,      -0.000000/0.055478,      -0.000208/0.098583,                 0.0/0.0,
   83,   relocation,            24.2436,            24.2436,            44.8314,            777.331,                  0,       0.000508/0.085723,      -0.000858/0.048244,      -0.000000/0.053620,       0.000757/0.093363,                 0.0/0.0,
   84,   relocation,            22.0786,            22.0786,            41.9222,            721.427,                  0,      -0.000637/0.082576,      -0.001848/0.046010,      -0.000000/0.051851,      -0.000607/0.089944,                 0.0/0.0,
   85,   relocation,            19.1811,            19.1811,            38.9224,            657.753,                  0,       0.000524/0.078835,      -0.000166/0.042919,       0.000000/0.049961,       0.000697/0.085882,                 0.0/0.0,
   86,   relocation,            17.4955,            17.4955,            36.3692,            613.952,                  0,      -0.000048/0.076145,      -0.001240/0.040971,       0.000000/0.048295,       0.000083/0.082976,                 0.0/0.0,
   87,   relocation,            15.4592,            15.4592,            33.8268,            565.026,                  0,       0.000486/0.073030,      -0.000352/0.038529,       0.000000/0.046576,       0.000669/0.079598,                 0.0/0.0,
   88,   relocation,             14.033,             14.033,            31.4402,            526.622,                  0,      -0.000061/0.070477,      -0.000753/0.036702,      -0.000000/0.044903,       0.000009/0.076848,                 0.0/0.0,
   89,   relocation,            12.5044,            12.5044,            29.2863,            491.107,                  0,       0.000916/0.068014,       0.000044/0.034653,      -0.000000/0.043338,       0.001178/0.074203,                 0.0/0.0,
   90,   relocation,            11.3426,            11.3426,            27.2697,            456.686,                  0,      -0.000025/0.065577,      -0.000894/0.032992,       0.000000/0.041819,       0.000072/0.071564,                 0.0/0.0,
   91,   relocation,            10.0403,            10.0403,            25.1915,            421.781,                  0,       0.000649/0.062988,       0.000304/0.031050,       0.000000/0.040194,       0.000803/0.068770,                 0.0/0.0,
   92,   relocation,            9.59827,            9.59827,            23.2027,            402.752,                  0,      -0.000253/0.061494,      -0.001299/0.030333,       0.000000/0.038575,      -0.000175/0.067205,                 0.0/0.0,
   93,   relocation,            8.12154,            8.12154,            21.6591,            372.093,                  0,       0.000226/0.059069,       0.000508/0.027923,       0.000000/0.037270,       0.000232/0.064596,                 0.0/0.0,
   94,   relocation,            8.07352,            8.07352,            20.1603,            360.739,                  0,      -0.000141/0.058113,      -0.000780/0.027834,      -0.000000/0.035957,      -0.000091/0.063604,                 0.0/0.0,
   95,   relocation,            6.83816,            6.83816,            18.9872,            330.104,                  0,       0.000092/0.055590,       0.000515/0.025621,      -0.000000/0.034895,       0.000059/0.060843,                 0.0/0.0,
   96,   relocation,            6.86607,            6.86607,            17.5812,            324.528,                  0,      -0.000441/0.055043,      -0.000631/0.025671,      -0.000000/0.033578,      -0.000496/0.060325,                 0.0/0.0,
   97,   relocation,            5.94787,            5.94787,            16.5833,            297.725,                  0,       0.000104/0.052731,       0.000270/0.023898,      -0.000000/0.032611,       0.000103/0.057782,                 0.0/0.0,
   98,   relocation,            5.71276,            5.71276,            15.4205,            287.175,                  0,      -0.000391/0.051736,      -0.000068/0.023422,      -0.000000/0.031447,      -0.000498/0.056747,                 0.0/0.0,
   99,   relocation,              5.338,              5.338,            14.4799,            272.539,                  0,       0.000289/0.050381,       0.000198/0.022640,      -0.000000/0.030473,       0.000350/0.055283,                 0.0/0.0,
  100,   relocation,            5.03593,            5.03593,            13.5708,            263.281,                  0,      -0.000369/0.049470,      -0.000050/0.021991,      -0.000000/0.029501,      -0.000471/0.054335,                 0.0/0.0,
